id,traderAddress,baseTokenAddress,quoteTokenAddress,traderType,blockNumber,txCount,baseBalance,quoteBalance,createdAt
cmkleeddu0000zwm3ibs5dqdl,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,0x55d398326f99059fF775485246999027B3197955,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,POLLING,70070042,4,101999.3431323238,97999.99999999999,2026-01-19T16:47:11.682Z
cmkleefzl0001zwm3ld9jsa3c,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,POLLING,70070157,6,125.0483682602527,96039.99999999999,2026-01-19T16:47:15.057Z
cmkleei4z0002zwm3ql31bcnq,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,0x55d398326f99059fF775485246999027B3197955,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,POLLING,70070239,7,103958.8067680867,96039.61576098793,2026-01-19T16:47:17.843Z
cmkleey9v0003zwm3kroewy3i,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,POLLING,70070721,16,139.5434777549284,85320.36299266313,2026-01-19T16:47:38.754Z
cmkleeyah0004zwm3q4gujgx5,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,POLLING,70070721,13,267.1721609509857,112189.1177167729,2026-01-19T16:47:38.777Z
cmklef0hi0005zwm3xgjmbkzp,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,POLLING,70070803,15,267.1721609509857,109945.3529247245,2026-01-19T16:47:41.622Z
cmklef5620006zwm3e20hdi1g,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,0x55d398326f99059fF775485246999027B3197955,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,POLLING,70070940,19,118287.3199375822,81706.43638370295,2026-01-19T16:47:47.690Z
cmklef9vb0007zwm3ob49qyvw,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,0x55d398326f99059fF775485246999027B3197955,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,POLLING,70071069,22,121521.9951302843,78470.86150290832,2026-01-19T16:47:53.783Z
cmklef9vo0008zwm30kfcvtoi,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,POLLING,70071069,22,149.4127553862224,77122.85049959329,2026-01-19T16:47:53.796Z
cmklefyx800006pm3f2kwhbed,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,SUBSCRIPTION,70070042,4,122.3848059733451,97999.99999999999,2026-01-19T16:48:26.252Z
